dataset_group,dataset_file,process_count,resource_count,event_count,algorithm,detection_interval,runs,deadlock_detected,actual_deadlock_time,detected_deadlock_time,detection_latency,detection_frequency,detection_time_seconds,detection_overhead_seconds,max_wait_for_edges
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,dfs,5,5,True,16.000,19.000,3.000,6.000,0.000000416,0.000002498,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,dfs,10,5,True,16.000,19.000,3.000,3.000,0.000000246,0.000000738,5.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,bfs,1,5,True,26.000,26.000,0.000,38.000,0.000000911,0.000034619,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,bfs,2,5,True,26.000,27.000,1.000,19.000,0.000000893,0.000016968,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,bfs,5,5,True,26.000,29.000,3.000,8.000,0.000000880,0.000007044,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,bfs,10,5,True,26.000,29.000,3.000,4.000,0.000000735,0.000002942,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,dfs,1,5,True,26.000,26.000,0.000,38.000,0.000000687,0.000026119,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,dfs,2,5,True,26.000,27.000,1.000,19.000,0.000000491,0.000009326,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,dfs,5,5,True,26.000,29.000,3.000,8.000,0.000000357,0.000002859,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,dfs,10,5,True,26.000,29.000,3.000,4.000,0.000000433,0.000001730,15.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,bfs,1,5,True,36.000,36.000,0.000,49.000,0.000001159,0.000056768,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,bfs,2,5,True,36.000,37.000,1.000,25.000,0.000001572,0.000039311,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,bfs,5,5,True,36.000,39.000,3.000,10.000,0.000001031,0.000010310,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,bfs,10,5,True,36.000,39.000,3.000,5.000,0.000001026,0.000005128,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,dfs,1,5,True,36.000,36.000,0.000,49.000,0.000000460,0.000022553,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,dfs,2,5,True,36.000,37.000,1.000,25.000,0.000000462,0.000011550,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,dfs,5,5,True,36.000,39.000,3.000,10.000,0.000000437,0.000004370,16.000
medium,medium/medium_random_14p_case03.csv,14.000,33.000,49.000,dfs,10,5,True,36.000,39.000,3.000,5.000,0.000000421,0.000002107,16.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,bfs,1,5,True,36.000,36.000,0.000,49.000,0.000001926,0.000094392,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,bfs,2,5,True,36.000,37.000,1.000,25.000,0.000001122,0.000028051,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,bfs,5,5,True,36.000,39.000,3.000,10.000,0.000001247,0.000012473,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,bfs,10,5,True,36.000,39.000,3.000,5.000,0.000001229,0.000006143,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,dfs,1,5,True,36.000,36.000,0.000,49.000,0.000000513,0.000025117,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,dfs,2,5,True,36.000,37.000,1.000,25.000,0.000000506,0.000012656,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,dfs,5,5,True,36.000,39.000,3.000,10.000,0.000000505,0.000005045,13.000
medium,medium/medium_random_16p_case04.csv,16.000,36.000,49.000,dfs,10,5,True,36.000,39.000,3.000,5.000,0.000000626,0.000003132,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,bfs,1,5,True,32.000,32.000,0.000,45.000,0.000001361,0.000061226,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,bfs,2,5,True,32.000,33.000,1.000,23.000,0.000001339,0.000030808,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,bfs,5,5,True,32.000,34.000,2.000,9.000,0.000001396,0.000012564,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,bfs,10,5,True,32.000,39.000,7.000,5.000,0.000001531,0.000007657,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,dfs,1,5,True,32.000,32.000,0.000,45.000,0.000001140,0.000051282,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,dfs,2,5,True,32.000,33.000,1.000,23.000,0.000000608,0.000013983,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,dfs,5,5,True,32.000,34.000,2.000,9.000,0.000000637,0.000005737,13.000
medium,medium/medium_random_18p_case05.csv,18.000,32.000,45.000,dfs,10,5,True,32.000,39.000,7.000,5.000,0.000000592,0.000002958,13.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,bfs,1,5,True,26.000,26.000,0.000,39.000,0.000000554,0.000021597,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,bfs,2,5,True,26.000,27.000,1.000,20.000,0.000000525,0.000010509,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,bfs,5,5,True,26.000,29.000,3.000,8.000,0.000000528,0.000004227,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,bfs,10,5,True,26.000,29.000,3.000,4.000,0.000000576,0.000002304,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,dfs,1,5,True,26.000,26.000,0.000,39.000,0.000000335,0.000013057,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,dfs,2,5,True,26.000,27.000,1.000,20.000,0.000000335,0.000006694,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,dfs,5,5,True,26.000,29.000,3.000,8.000,0.000000342,0.000002733,14.000
medium,medium/medium_random_9p_case02.csv,9.000,25.000,39.000,dfs,10,5,True,26.000,29.000,3.000,4.000,0.000000331,0.000001325,14.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,bfs,1,5,True,46.000,46.000,0.000,61.000,0.000001801,0.000109840,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,bfs,2,5,True,46.000,47.000,1.000,31.000,0.000001943,0.000060224,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,bfs,5,5,True,46.000,49.000,3.000,13.000,0.000003632,0.000047218,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,bfs,10,5,True,46.000,49.000,3.000,7.000,0.000001831,0.000012815,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,dfs,1,5,True,46.000,46.000,0.000,61.000,0.000000911,0.000055561,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,dfs,2,5,True,46.000,47.000,1.000,31.000,0.000001072,0.000033246,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,dfs,5,5,True,46.000,49.000,3.000,13.000,0.000000923,0.000011994,20.000
large,large/large_random_22p_case02.csv,22.000,41.000,61.000,dfs,10,5,True,46.000,49.000,3.000,7.000,0.000000734,0.000005136,20.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,bfs,1,5,True,48.000,48.000,0.000,63.000,0.000002692,0.000169578,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,bfs,2,5,True,48.000,49.000,1.000,32.000,0.000002511,0.000080348,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,bfs,5,5,True,48.000,49.000,1.000,13.000,0.000002355,0.000030609,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,bfs,10,5,True,48.000,49.000,1.000,7.000,0.000002352,0.000016466,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,dfs,1,5,True,48.000,48.000,0.000,63.000,0.000001274,0.000080256,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,dfs,2,5,True,48.000,49.000,1.000,32.000,0.000000866,0.000027708,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,dfs,5,5,True,48.000,49.000,1.000,13.000,0.000000853,0.000011091,22.000
large,large/large_random_25p_case03.csv,25.000,41.000,63.000,dfs,10,5,True,48.000,49.000,1.000,7.000,0.000000796,0.000005572,22.000
large,large/large_random_28p.csv,28.000,45.000,78.000,bfs,1,5,True,60.000,60.000,0.000,78.000,0.000003216,0.000250875,33.000
large,large/large_random_28p.csv,28.000,45.000,78.000,bfs,2,5,True,60.000,61.000,1.000,39.000,0.000003246,0.000126578,33.000
large,large/large_random_28p.csv,28.000,45.000,78.000,bfs,5,5,True,60.000,64.000,4.000,16.000,0.000002944,0.000047102,33.000
large,large/large_random_28p.csv,28.000,45.000,78.000,bfs,10,5,True,60.000,69.000,9.000,8.000,0.000003023,0.000024181,33.000
large,large/large_random_28p.csv,28.000,45.000,78.000,dfs,1,5,True,60.000,60.000,0.000,78.000,0.000001555,0.000121252,33.000
